date,division,inflation_yoy,inflation_mom
2018-02-01,overall,,0.2
2018-03-01,overall,,0.0
2018-04-01,overall,,0.1
2018-05-01,overall,,0.2
2018-06-01,overall,,-1.4
2018-07-01,overall,,0.0
2018-08-01,overall,,0.3
2018-09-01,overall,,0.6
2018-10-01,overall,,0.2
2018-11-01,overall,,0.3
2018-12-01,overall,,0.0
2019-01-01,overall,0.2,-0.1
2019-02-01,overall,0.3,0.3
2019-03-01,overall,0.5,0.3
2019-04-01,overall,0.5,0.1
2019-05-01,overall,0.4,0.1
2019-06-01,overall,1.9,0.0
2019-07-01,overall,2.0,0.1
2019-08-01,overall,2.0,0.3
2019-09-01,overall,1.5,0.2
2019-10-01,overall,1.4,0.1
2019-11-01,overall,1.4,0.3
2019-12-01,overall,1.4,0.0
2020-01-01,overall,1.6,0.1
2020-02-01,overall,1.3,-0.1
2020-03-01,overall,1.3,0.2
2020-04-01,overall,1.3,0.1
2020-05-01,overall,1.1,-0.1
2020-06-01,overall,1.2,0.1
2020-07-01,overall,1.1,0.0
2020-08-01,overall,1.1,0.2
2020-09-01,overall,1.0,0.1
2020-10-01,overall,0.8,-0.1
2020-11-01,overall,0.7,0.1
2020-12-01,overall,0.7,0.0
2021-01-01,overall,0.7,0.1
2021-02-01,overall,0.7,0.0
2021-03-01,overall,0.7,0.2
2021-04-01,overall,0.7,0.1
2021-05-01,overall,0.8,0.1
2021-06-01,overall,0.7,0.0
2021-07-01,overall,0.7,-0.1
2021-08-01,overall,0.6,0.2
2021-09-01,overall,0.6,0.1
2021-10-01,overall,0.7,0.0
2021-11-01,overall,0.9,0.3
2021-12-01,overall,1.1,0.2
2022-01-01,overall,1.6,0.6
2022-02-01,overall,1.8,0.2
2022-03-01,overall,2.0,0.3
2022-04-01,overall,2.1,0.2
2022-05-01,overall,2.4,0.4
2022-06-01,overall,3.0,0.6
2022-07-01,overall,3.4,0.3
2022-08-01,overall,3.8,0.6
2022-09-01,overall,4.0,0.3
2022-10-01,overall,4.1,0.1
2022-11-01,overall,4.2,0.4
2022-12-01,overall,4.1,0.1
2023-01-01,overall,3.9,0.4
2023-02-01,overall,3.9,0.2
