"Trade Date","Instrument","Stock Code","Currency","Maturity Date","Traded Yield"
"24/08/2026","MGS","MX130004","MYR","15/04/2033","0.00"
"21/08/2026","MGS","MO220001","MYR","15/07/2032","3.66"
"19/08/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"18/08/2026","MGS","MX130004","MYR","15/04/2033","0.00"
"17/08/2026","MGS","MO220001","MYR","15/07/2032","3.66"
"14/08/2026","MGS","MZ180005","MYR","06/07/2048","0.00"
"13/08/2026","MGS","MZ160002","MYR","15/03/2046","4.12"
"13/08/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"12/08/2026","MGS","MT180003","MYR","07/11/2033","3.72"
"12/08/2026","MGS","MY150004","MYR","31/05/2035","3.76"
"12/08/2026","MGS","MY220002","MYR","15/10/2042","4.01"
"12/08/2026","MGS","MZ130007","MYR","30/09/2043","0.00"
"11/08/2026","MGS","MO220001","MYR","15/07/2032","3.64"
"10/08/2026","MGS","MY220002","MYR","15/10/2042","4.00"
"04/08/2026","MGS","MS190004","MYR","05/07/2034","3.75"
"04/08/2026","MGS","MX180004","MYR","08/06/2038","3.91"
"04/08/2026","MGS","MY220002","MYR","15/10/2042","3.96"
"04/08/2026","MGS","MZ180005","MYR","06/07/2048","4.08"
"04/08/2026","MGS","MZ230001","MYR","31/03/2053","4.09"
"03/08/2026","MGS","MY220002","MYR","15/10/2042","3.95"
"03/08/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"30/07/2026","MGS","MZ230001","MYR","31/03/2053","4.09"
"29/07/2026","MGS","MT180003","MYR","07/11/2033","3.67"
"29/07/2026","MGS","MZ200001","MYR","15/06/2050","4.08"
"28/07/2026","MGS","MO220001","MYR","15/07/2032","3.58"
"28/07/2026","MGS","MO220001","MYR","15/07/2032","3.57"
"28/07/2026","MGS","MO220001","MYR","15/07/2032","3.60"
"28/07/2026","MGS","MS190004","MYR","05/07/2034","0.00"
"28/07/2026","MGS","MS190004","MYR","05/07/2034","3.70"
"28/07/2026","MGS","MS190004","MYR","05/07/2034","3.69"
"28/07/2026","MGS","MS190004","MYR","05/07/2034","3.69"
"28/07/2026","MGS","MT180003","MYR","07/11/2033","3.68"
"28/07/2026","MGS","MX130004","MYR","15/04/2033","3.63"
"28/07/2026","MGS","MX130004","MYR","15/04/2033","3.62"
"28/07/2026","MGS","MX130004","MYR","15/04/2033","3.62"
"28/07/2026","MGS","MX170003","MYR","07/04/2037","3.79"
"28/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"28/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"28/07/2026","MGS","MX180004","MYR","08/06/2038","3.89"
"28/07/2026","MGS","MY150004","MYR","31/05/2035","0.00"
"28/07/2026","MGS","MY190005","MYR","22/05/2040","3.97"
"28/07/2026","MGS","MY190005","MYR","22/05/2040","3.91"
"28/07/2026","MGS","MY190005","MYR","22/05/2040","3.95"
"28/07/2026","MGS","MY220002","MYR","15/10/2042","0.00"
"28/07/2026","MGS","MY220002","MYR","15/10/2042","0.00"
"28/07/2026","MGS","MY220002","MYR","15/10/2042","3.96"
"28/07/2026","MGS","MZ130007","MYR","30/09/2043","0.00"
"28/07/2026","MGS","MZ180005","MYR","06/07/2048","0.00"
"28/07/2026","MGS","MZ180005","MYR","06/07/2048","4.09"
"28/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"28/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"28/07/2026","MGS","MZ200001","MYR","15/06/2050","4.07"
"28/07/2026","MGS","MZ200001","MYR","15/06/2050","4.06"
"28/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"28/07/2026","MGS","MZ230001","MYR","31/03/2053","4.09"
"27/07/2026","MGS","MX130004","MYR","15/04/2033","3.63"
"24/07/2026","MGS","MY150004","MYR","31/05/2035","0.00"
"24/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"24/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"24/07/2026","MGS","MZ180005","MYR","06/07/2048","0.00"
"24/07/2026","MGS","MZ160002","MYR","15/03/2046","0.00"
"24/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"23/07/2026","MGS","MS190004","MYR","05/07/2034","3.66"
"22/07/2026","MGS","MY190005","MYR","22/05/2040","3.91"
"14/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"14/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"14/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"14/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"14/07/2026","MGS","MY150004","MYR","31/05/2035","3.64"
"14/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"14/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"14/07/2026","MGS","MO220001","MYR","15/07/2032","3.49"
"09/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"09/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"09/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"09/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"08/07/2026","MGS","MY190005","MYR","22/05/2040","3.89"
"06/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"06/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"06/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"06/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"06/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"06/07/2026","MGS","MZ130007","MYR","30/09/2043","0.00"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","0.00"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.50"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.50"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.51"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.51"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"02/07/2026","MGS","MO220001","MYR","15/07/2032","3.51"
"02/07/2026","MGS","MS190004","MYR","05/07/2034","0.00"
"02/07/2026","MGS","MS190004","MYR","05/07/2034","3.60"
"02/07/2026","MGS","MS190004","MYR","05/07/2034","3.60"
"02/07/2026","MGS","MT180003","MYR","07/11/2033","0.00"
"02/07/2026","MGS","MT180003","MYR","07/11/2033","3.58"
"02/07/2026","MGS","MT180003","MYR","07/11/2033","3.58"
"02/07/2026","MGS","MX130004","MYR","15/04/2033","0.00"
"02/07/2026","MGS","MX130004","MYR","15/04/2033","3.54"
"02/07/2026","MGS","MX130004","MYR","15/04/2033","3.54"
"02/07/2026","MGS","MX170003","MYR","07/04/2037","0.00"
"02/07/2026","MGS","MX170003","MYR","07/04/2037","3.73"
"02/07/2026","MGS","MX170003","MYR","07/04/2037","3.71"
"02/07/2026","MGS","MX170003","MYR","07/04/2037","3.73"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","0.00"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","3.84"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","3.85"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","3.85"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","3.85"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","3.85"
"02/07/2026","MGS","MX180004","MYR","08/06/2038","3.85"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","0.00"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","0.00"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","3.90"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","3.90"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","3.91"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","3.90"
"02/07/2026","MGS","MY190005","MYR","22/05/2040","3.90"
"02/07/2026","MGS","MY220002","MYR","15/10/2042","0.00"
"02/07/2026","MGS","MY220002","MYR","15/10/2042","3.94"
"02/07/2026","MGS","MZ130007","MYR","30/09/2043","0.00"
"02/07/2026","MGS","MZ130007","MYR","30/09/2043","3.95"
"02/07/2026","MGS","MZ180005","MYR","06/07/2048","0.00"
"02/07/2026","MGS","MZ180005","MYR","06/07/2048","4.03"
"02/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"02/07/2026","MGS","MZ200001","MYR","15/06/2050","0.00"
"02/07/2026","MGS","MZ200001","MYR","15/06/2050","4.13"
"02/07/2026","MGS","MZ200001","MYR","15/06/2050","4.06"
"02/07/2026","MGS","MZ200001","MYR","15/06/2050","4.05"
"02/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"02/07/2026","MGS","MZ230001","MYR","31/03/2053","0.00"
"02/07/2026","MGS","MZ230001","MYR","31/03/2053","4.12"
"01/07/2026","MGS","MZ200001","MYR","15/06/2050","4.11"
"01/07/2026","MGS","MZ180005","MYR","06/07/2048","4.03"
"01/07/2026","MGS","MZ180005","MYR","06/07/2048","0.00"
"01/07/2026","MGS","MZ160002","MYR","15/03/2046","3.98"
"01/07/2026","MGS","MZ160002","MYR","15/03/2046","0.00"
"01/07/2026","MGS","MZ130007","MYR","30/09/2043","3.83"
"01/07/2026","MGS","MY220002","MYR","15/10/2042","0.00"
"01/07/2026","MGS","MT180003","MYR","07/11/2033","3.57"
"30/06/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"30/06/2026","MGS","MO220001","MYR","15/07/2032","0.00"
"30/06/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"30/06/2026","MGS","MO220001","MYR","15/07/2032","3.52"
"30/06/2026","MGS","MO220001","MYR","15/07/2032","3.50"
"30/06/2026","MGS","MO220001","MYR","15/07/2032","3.52"
