,date,division,inflation_yoy,inflation_mom
0,2018-02-01,overall,,0.2
1,2018-03-01,overall,,0.0
2,2018-04-01,overall,,0.1
3,2018-05-01,overall,,0.2
4,2018-06-01,overall,,-1.4
5,2018-07-01,overall,,0.0
6,2018-08-01,overall,,0.3
7,2018-09-01,overall,,0.6
8,2018-10-01,overall,,0.2
9,2018-11-01,overall,,0.3
10,2018-12-01,overall,,0.0
11,2019-01-01,overall,0.2,-0.1
12,2019-02-01,overall,0.3,0.3
13,2019-03-01,overall,0.5,0.3
14,2019-04-01,overall,0.5,0.1
15,2019-05-01,overall,0.4,0.1
16,2019-06-01,overall,1.9,0.0
17,2019-07-01,overall,2.0,0.1
18,2019-08-01,overall,2.0,0.3
19,2019-09-01,overall,1.5,0.2
20,2019-10-01,overall,1.4,0.1
21,2019-11-01,overall,1.4,0.3
22,2019-12-01,overall,1.4,0.0
23,2020-01-01,overall,1.6,0.1
24,2020-02-01,overall,1.3,-0.1
25,2020-03-01,overall,1.3,0.2
26,2020-04-01,overall,1.3,0.1
27,2020-05-01,overall,1.1,-0.1
28,2020-06-01,overall,1.2,0.1
29,2020-07-01,overall,1.1,0.0
30,2020-08-01,overall,1.1,0.2
31,2020-09-01,overall,1.0,0.1
32,2020-10-01,overall,0.8,-0.1
33,2020-11-01,overall,0.7,0.1
34,2020-12-01,overall,0.7,0.0
35,2021-01-01,overall,0.7,0.1
36,2021-02-01,overall,0.7,0.0
37,2021-03-01,overall,0.7,0.2
38,2021-04-01,overall,0.7,0.1
39,2021-05-01,overall,0.8,0.1
40,2021-06-01,overall,0.7,0.0
41,2021-07-01,overall,0.7,-0.1
42,2021-08-01,overall,0.6,0.2
43,2021-09-01,overall,0.6,0.1
44,2021-10-01,overall,0.7,0.0
45,2021-11-01,overall,0.9,0.3
46,2021-12-01,overall,1.1,0.2
47,2022-01-01,overall,1.6,0.6
48,2022-02-01,overall,1.8,0.2
49,2022-03-01,overall,2.0,0.3
50,2022-04-01,overall,2.1,0.2
51,2022-05-01,overall,2.4,0.4
52,2022-06-01,overall,3.0,0.6
53,2022-07-01,overall,3.4,0.3
54,2022-08-01,overall,3.8,0.6
55,2022-09-01,overall,4.0,0.3
56,2022-10-01,overall,4.1,0.1
57,2022-11-01,overall,4.2,0.4
58,2022-12-01,overall,4.1,0.1
59,2023-01-01,overall,3.9,0.4
60,2023-02-01,overall,3.9,0.2
61,2023-03-01,overall,3.8,0.2
62,2023-04-01,overall,3.6,0.0
63,2023-05-01,overall,3.5,0.3
64,2023-06-01,overall,3.1,0.2
65,2023-07-01,overall,2.8,0.0
66,2023-08-01,overall,2.5,0.2
67,2023-09-01,overall,2.5,0.3
68,2023-10-01,overall,2.4,0.0
69,2023-11-01,overall,2.0,0.0
70,2023-12-01,overall,1.9,0.0
71,2024-01-01,overall,1.8,0.3
72,2024-02-01,overall,1.8,0.2
73,2024-03-01,overall,1.7,0.2
74,2024-04-01,overall,1.9,0.2
75,2024-05-01,overall,1.9,0.4
76,2024-06-01,overall,1.9,0.1
77,2024-07-01,overall,1.9,0.1
78,2024-08-01,overall,1.9,0.2
79,2024-09-01,overall,1.8,0.2
80,2024-10-01,overall,1.8,0.0
81,2024-11-01,overall,1.8,0.0
82,2024-12-01,overall,1.6,-0.2
83,2025-01-01,overall,1.8,0.5
84,2025-02-01,overall,1.9,0.4
85,2025-03-01,overall,1.9,0.2
86,2025-04-01,overall,2.0,0.2
87,2025-05-01,overall,1.8,0.2
88,2025-06-01,overall,1.8,0.1
89,2025-07-01,overall,1.8,0.1
90,2025-08-01,overall,2.0,0.4
91,2025-09-01,overall,2.1,0.3
92,2025-10-01,overall,2.2,0.1
93,2025-11-01,overall,2.2,0.0
94,2025-12-01,overall,2.3,-0.1
95,2026-01-01,overall,2.3,0.4
