date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2015-01-02,4.13,0.05,30.0,7,2024
2015-01-05,4.17,0.04,234.14,7,2024
2015-01-06,4.2,0.03,45.2,7,2024
2015-01-07,4.17,-0.03,20.93,7,2024
2015-01-08,4.19,0.02,172.45,7,2024
2015-01-09,4.14,-0.05,208.64,7,2024
2015-01-12,4.05,-0.09,393.42,7,2024
2015-01-13,3.98,-0.07,453.2,7,2024
2015-01-14,3.98,0.0,372.37,7,2024
2015-01-15,3.95,-0.03,261.3,7,2024
2015-01-16,3.9,-0.05,210.0,7,2024
2015-01-19,3.93,0.03,145.3,7,2024
2015-01-20,3.92,-0.01,186.66,7,2024
2015-01-21,3.99,0.07,212.06,7,2024
2015-01-22,3.98,-0.01,147.45,7,2024
2015-01-23,3.93,-0.05,81.6,7,2024
2015-01-26,3.89,-0.04,717.66,7,2024
2015-01-27,3.89,0.0,10.0,7,2024
2015-01-28,3.83,-0.06,527.0,7,2024
2015-01-29,3.84,0.01,160.42,7,2024
2015-01-30,3.8,-0.04,416.56,7,2024
2015-02-04,3.76,-0.04,874.53,7,2024
2015-02-05,3.72,-0.04,254.52,7,2024
2015-02-06,3.76,0.04,163.0,7,2024
2015-02-09,3.76,0.0,53.89,7,2024
2015-02-10,3.81,0.05,91.35,7,2024
2015-02-11,3.84,0.03,293.43,7,2024
2015-02-12,3.87,0.03,1149.03,7,2024
2015-02-13,3.86,-0.01,173.47,7,2024
2015-02-16,3.9,0.04,366.39,7,2024
2015-02-17,3.87,-0.03,66.6,7,2024
2015-02-18,3.86,-0.01,123.45,7,2024
2015-02-23,3.89,0.03,35.0,7,2024
2015-02-24,3.86,-0.03,145.89,7,2024
2015-02-25,3.86,0.0,393.82,7,2024
2015-02-26,3.86,0.0,171.1,7,2024
2015-02-27,3.87,0.01,188.65,7,2024
2015-03-02,3.88,0.01,16.58,7,2024
2015-03-03,3.87,-0.01,34.15,7,2024
2015-03-04,3.89,0.02,88.78,7,2024
2015-03-05,3.9,0.01,236.48,7,2024
